I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
5667		2002	12	14	13	27	 29.1	22	 5.5	 5.5	 5.3	 5.6					CHINA		CHINA:  GANSU PROVINCE:  YUMNE	  39.736	   97.443	30	       2	1						3	13380	4			       2	1						3	13380	4		
5668		2002	12	24	17	3	  2.9	33	 5.2	 5.2	 4.4	 5.1					IRAN		IRAN:  KERMANSHAH	  34.594	   47.454	140					        15	1		3	3000	4	3000	4					15	1		3	3000	4		
5669		2002	12	25	12	57	  3.2	10	 5.7	 5.7	 5.6	 5.5					CHINA		CHINA:  XINJIANG:  WUQIA	  39.570	   75.254	40								1		2										1		2		
5670		2002	12	25	19	13	 42.7	91	 5.5	 5.5		 5.3					AFGHANISTAN		AFGHANISTAN:  JALALABAD	  35.704	   69.868	40								1												1				1
5671		2003	1	11	17	45	 30.6	33	 5.2	 5.2	 5.0	 5.2					IRAN		IRAN:  KAZERUN, NURABAD	  29.590	   51.474	140						2		3	650	3	650	3						2		3	650	3	1350	4
5672	Tsu	2003	1	20	8	43	  6.0	33	 7.3	 7.3	 7.8	 6.7					SOLOMON ISLANDS		SOLOMON ISLANDS:  HONIARA, SAN CRISTOBAL	 -10.491	  160.770	170																								
5673	Tsu	2003	1	22	2	6	 34.6	24	 7.5	 7.5	 7.6	 6.5				8	MEXICO		MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO	  18.770	 -104.104	150	      29	1			       300	3		3	2005	4	6615	4	      29	1			300	3		3	2005	4	6615	4
5674		2003	1	23	0	8	 22.8	33	 5.5	 5.5	 5.1	 5.3				6	INDONESIA		INDONESIA:  SUMBAWA ISLAND:  DOMPU	  -8.807	  118.524	170					         2	1		2			500	3					2	1		2			500	3
5675		2003	1	26	19	57	  3.2	7	 4.7			 4.7	4.6			7	ITALY		ITALY:  SPINELLO, SANTA SOFIA, BAGNO DI ROMAGNA	  43.883	   11.960	130								1				1								1				1
5676		2003	1	27	5	26	 23.0	10	 6.1	 6.1	 6.0	 5.6					TURKEY		TURKEY:  SAGLAMTAS, PULUMUR	  39.500	   39.878	140	       1	1				2		1					       1	1				2		1				2
5685		2003	2	13	17	34	 20.9	24	 5.3	 5.3	 5.2	 5.2					CHINA		CHINA:  N. XINJIANG:  URUMQI	  43.897	   85.923	40								1												1				
5700		2003	2	15	5	47	 58.9	10	 5.8	 5.8	 5.6	 5.4				6	PHILIPPINES		PHILIPPINES: LUZON:  DIMASALANG	  12.171	  123.921	170								1												1				
5701		2003	2	15	11	1	 59.8	10	 6.3	 6.3	 6.2	 5.8				6	PHILIPPINES		PHILIPPINES: MASBATE, DIMASALANG	  12.168	  124.079	170								1				2								1				2
5680		2003	2	22	12	19	 10.5	1	 5.2	 5.2	 4.8	 4.9				6	USA	CA	CALIFORNIA:  BIG BEAR CITY	  34.310	 -116.848	150								1												1				
5681		2003	2	22	20	41	  3.4	10	 5.0	 5.0		 5.0	5.7				FRANCE		FRANCE:  BACCARAT, COLMAR, THANN; GERMANY:  EDIGEN	  48.342	    6.570	120								1												1				
5682		2003	2	24	2	3	 41.4	11	 6.3	 6.3	 6.3	 5.8					CHINA		CHINA:  S. XINJIANG:  BACHU	  39.610	   77.230	40	     261	3			      4000	4		4	71000	4			     261	3			4000	4		4	71000	4		
5683		2003	2	25	3	52	 41.0	10	 5.4	 5.4	 5.3	 5.1					CHINA		CHINA:  S. XINJIANG:  BACHU	  39.483	   77.393	40	       5	1						1					       5	1						1				
5684		2003	3	21	11	38	 20.0	33	 4.6			 4.6					INDONESIA		INDONESIA:  JAVA:  CARACAS, CILIMUS, SAMPORA	  -6.983	  108.468	170								2												2			800	3
5686		2003	3	22	13	36	 16.0	6	 4.7				4.7				GERMANY		GERMANY:  ALBSTADT	  48.210	    9.000	120								1												1				
5702		2003	3	25	2	53	 25.0	33	 6.5	 6.5	 6.1	 6.2					INDONESIA		INDONESIA:  FLORES:  REO	  -8.294	  120.743	170	       4	1			        20	1		1				2	       4	1			20	1		1				2
5689		2003	3	25	18	51	 26.3	47	 5.5	 5.5	 4.8	 4.8					BHUTAN		BHUTAN:  PHUENTSHOLING	  27.264	   89.331	60								1												1				1
5690		2003	4	10	0	40	 15.1	10	 5.7	 5.7	 5.6	 5.6					TURKEY		TURKEY:  IZMIR, SEFERIHISAR	  38.221	   26.958	140					        90	2		2		2		2					90	2		2		2		2
5691		2003	4	17	0	48	 38.5	14	 6.4	 6.4	 6.3	 6.2					CHINA		CHINA:  QINGHAI PROVINCE:  DELINGHA	  37.529	   96.476	30								1	45	1	45	1								1	45	1		
5703		2003	4	29	8	59	 39.0	20	 4.6	 4.6		 4.4				6	USA	AL	ALABAMA:  FORT PAYNE,GAYLESVILLE,VALLEY HEAD	  34.494	  -85.629	150								1												1				
5692		2003	5	1	0	27	  4.7	10	 6.4	 6.4	 6.4	 5.7					TURKEY		TURKEY:  BINGOL	  39.007	   40.464	140	     177	3			       521	3		3	718	3	718	3	     177	3			521	3		3	718	3	2593	4
5693		2003	5	4	15	44	 35.5	10	 5.8	 5.8	 5.6	 5.0					CHINA		CHINA:  S. XINJIANG:  YOPURGA	  39.430	   77.219	40	       1	1			         3	1		3	1600	4			       1	1			3	1		3	1600	4		
5694	Tsu	2003	5	21	18	44	 20.1	12	 6.8	 6.8	 6.9	 6.5				10	ALGERIA		ALGERIA:  ALGIERS, BOUMERDES, REGHIA, THENIA	  36.964	    3.634	15	    2266	4			     10261	4	    5000.000	4	43000	4	43000	4	    2266	4			10261	4	    5000.000	4	43000	4		
5695		2003	5	26	9	24	 33.4	68	 7.0	 7.0		 6.7					JAPAN		JAPAN:  HONSHU:  IWATE, MIYAGI, YAMAGATA, AKITA	  38.849	  141.568	30					       143	3	     233.000	4			720	3					143	3	     233.000	4			720	3
5696		2003	5	26	19	23	 27.9	31	 7.0	 7.0	 7.1	 6.5					INDONESIA		INDONESIA:  MOROTAI, BEREBERE, DARUBA	   2.354	  128.855	170	       1	1			         7	1		1	28	1	20	1	       1	1			7	1		1	28	1	20	1
5697	Tsu	2003	5	27	17	11	 28.8	8	 5.7	 5.7	 5.5	 5.5					ALGERIA		ALGERIA:  ALGIERS, BOUMERDES, REGHAIA	  36.939	    3.578	15	       9	1			       200	3		2		3			       9	1			200	3		2		3		
5698		2003	6	6	12	29	 34.0	3	 4.0	 4.0		 3.9				6	USA	KY	KENTUCKY:  BARDWELL	  36.870	  -88.980	150								1												1				
5699		2003	6	9	7	6	 39.3	18	 5.2	 5.2	 4.9	 4.9					GREECE		GREECE:  GONNOI, LARISA	  39.893	   22.309	130								1			50	1								1			50	1
5688		2003	6	20	13	30	 41.6	33	 6.8	 6.8	 6.8	 6.4				6	CHILE		CHILE:  OVALLE, COQUIMBO; ARGENTINA:  SAN JUAN	 -30.608	  -71.637	160					         1	1		1				2					1	1		1				2
5704		2003	7	3	14	59	 32.2	41	 5.2	 5.2	 4.9	 5.2					IRAN		IRAN:  NORTHEASTERN: YAKHAK, BASHIRABAD, BUTEHGAZ	  35.476	   60.784	140								1												1			90	2
5705		2003	7	10	17	6	 37.6	10	 5.8	 5.8	 5.5	 5.9					IRAN		IRAN:  SOUTHERN: GAJJIABAD	  28.355	   54.169	140	       1	1			        25	1		3	3500	4	3500	4	       1	1			25	1		3	3500	4		
5706		2003	7	15	20	27	 50.5	10	 7.6	 7.6	 7.6	 6.1					INDIAN OCEAN		INDIAN OCEAN:  FELT IN MALDIVES	  -2.598	   68.382	60																								
5707		2003	7	21	15	16	 31.9	10	 5.9	 5.9	 6.0	 5.4					CHINA		CHINA:  YUNNAN PROVINCE	  25.975	  101.290	30	      16	1			       584	3	      75.000	4	264878	4	264878	4	      16	1			584	3	      75.000	4	264878	4		
5708		2003	7	25	15	13	  7.7	10	 5.5	 5.5	 4.9	 5.6					JAPAN		JAPAN:  HONSHU:  MIYAGI, IWATE	  38.432	  141.003	30					       569	3	     411.000	4			1025	4					569	3	     411.000	4			1025	4
5709		2003	7	26	1	0	 57.6	10	 4.5			 4.5	5				TURKEY		TURKEY:  WESTERN:  BULDAN	  38.111	   28.887	140						2		1										2		1			48	1
5710		2003	7	26	8	36	 49.1	10	 5.4	 5.4	 5.2	 5.0					TURKEY		TURKEY:  WESTERN:  BULDAN	  38.019	   28.927	140					        10	1		1	1	1	1	1					10	1		1	1	1		1
5711		2003	7	26	23	18	 17.9	10	 5.7	 5.7	 5.5	 5.5					BANGLADESH		BANGLADESH:  RANGAMATI	  22.854	   92.306	60	       2	1			        25	1		2	500	3			       2	1			25	1		2	500	3		
5712		2003	8	4	4	37	 20.1	10	 7.6	 7.6	 7.5	 6.2					ANTARCTICA		SCOTIA SEA:  SOUTH ORKNEY ISLANDS: LAURIE IS	 -60.532	  -43.411	20								1												1				
5713		2003	8	11	0	19	  9.2	10	 6.0	 6.0	 5.6	 5.7					INDONESIA		INDONESIA:  HALMAHERA:  WASILE	   1.142	  128.152	170								2			200	3								2			200	3
5714		2003	8	13	8	29	 27.2	54	 5.4	 5.4		 5.0					PANAMA		PANAMA:  COLON, PANAMA CITY	   9.355	  -79.941	100								1												1				
5715		2003	8	14	5	14	 54.7	10	 6.3	 6.3	 6.2	 5.6					GREECE		GREECE:  LEFKADA, PREVEZA	  39.160	   20.605	130					        50	1		2				2					50	1		2				2
5716		2003	8	16	10	58	 42.7	24	 5.4	 5.4	 5.1	 5.5					CHINA		CHINA:  NEI MONGOL:  LINDONG, TIANSHAN	  43.770	  119.643	30	       4	1			      1000	3		3	7900	3			       4	1			1000	3		3	7900	4		
5717		2003	8	18	9	3	  3.5	33	 5.5	 5.5	 5.3	 5.6					CHINA		CHINA:  TIBET (XIZANG PROVINCE): BOMI,MEDOG,NYINGCHI	  29.573	   95.605	40								1												1				
5719	Tsu	2003	8	21	12	12	 49.7	28	 7.2	 7.2	 7.5	 6.6	7.1				NEW ZEALAND		NEW ZEALAND:  DUNEDIN,INVERCARGILL,TE ANAU,FIORDLAND	 -45.104	  167.144	170								1												1				
5720		2003	9	14	21	42	 51.8	10	 5.3	 5.3	 5.2	 5.1				7	ITALY		ITALY:  LOIANO, MONGHIDORO, MONZUNO	  44.329	   11.450	130						2		1			10	1						2		1			10	1
5721		2003	9	20	3	54	 50.7	52	 5.7	 5.7		 5.4					JAPAN		JAPAN:  HONSHU:  TOKYO	  34.998	  140.172	30					         7	1		1				2					7	1		1				2
5722		2003	9	21	18	16	 13.4	10	 6.6	 6.6	 6.9	 6.1					MYANMAR (BURMA)		MYANMAR (BURMA):  TAUNGDWINGYI; THAILAND:  BANGKOK	  19.917	   95.672	60								1				2								1				2
5723		2003	9	22	4	45	 36.2	10	 6.4	 6.4	 6.6	 6.2				10	DOMINICAN REPUBLIC		DOMINICAN REPUBLIC:  PUERTO PLATA, SANTIAGO	  19.777	  -70.673	90	       3	1			        15	1		3		3			       3	1			15	1		3		3		
5724	Tsu	2003	9	25	19	50	  6.3	27	 8.3	 8.3	 8.1	 6.9					JAPAN		JAPAN:  HOKKAIDO	  41.815	  143.910	30					       755	3	      90.000	4									755	3	      90.000	4				
5725		2003	9	27	11	33	 25.0	16	 7.3	 7.3	 7.5	 6.5				10	RUSSIA		RUSSIA:  KOSH-AGACH, UST'-ULAGAN, ONGUDAI, SHEBALINO	  50.038	   87.813	40	       3	1			         5	1	      10.600	3	300	3			       3	1			5	1	      10.600	3	300	3		
5726		2003	9	29	15	27	  1.0	10	 4.4		 4.4	 5.1					RUSSIA		RUSSIA:  KOSH-AGACH	  50.000	   87.890	40								1												1				
5727		2003	9	29	18	22	 32.0	32	 4.8			 4.8	4.9				NEW ZEALAND		NEW ZEALAND:  CHRISTCHURCH	 -43.340	  173.040	170								1												1				
5728		2003	10	1	1	3	 25.2	10	 6.7	 6.7	 7.1	 6.3					RUSSIA		RUSSIA:  KOSH-AGACH, BARNAUL, GORNO-ALTAYSK	  50.211	   87.721	40								1				1								1				1
5729		2003	10	15	7	30	 35.9	78	 5.2	 5.2		 5.0					JAPAN		JAPAN:  NEAR S COAST HONSHU:  ATSUGI	  35.457	  139.871	30								1												1				
5730		2003	10	16	3	20	 55.3	10	 4.5		 4.5	 4.8					DOMINICAN REPUBLIC		DOMINICAN REPUBLIC:   MOCA, SANTIAGO	  19.761	  -70.693	90								1				1								1				1
5731		2003	10	16	12	28	  9.0	33	 5.6	 5.6	 5.6	 5.2					CHINA		CHINA:  YUNNAN PROVINCE:  DAYAO	  25.954	  101.254	30	       3	1			        32	1		3	12000	4	12000	4	       3	1			32	1		3	12000	4		
5732		2003	10	25	12	41	 35.2	10	 5.8	 5.8	 5.7	 5.8					CHINA		CHINA:  GANSU PROVINCE:  MINLE, SHANDAN	  38.400	  100.951	30	       9	1			        43	1	      40.000	4	10000	4			       9	1			43	1	      40.000	4	10000	4		
6610	Tsu	2003	10	31	1	6	 28.2	10	 7.0	 7.0	 6.8	 6.1					JAPAN		JAPAN:  EAST COAST HONSHU	  37.812	  142.619	30																								
5733		2003	11	13	2	35	 10.3	10	 5.1	 5.1	 5.1	 5.1					CHINA		CHINA:  GANSU PROVINCE:  JONE, LINTAN, MINXIAN	  34.712	  103.834	30	       1	1			        30	1		1	10	1			       1	1			30	1		1	10	1		
5734		2003	11	14	18	49	 46.5	33	 5.6	 5.6		 5.0					CHINA		CHINA:  YUNNAN PROVINCE:  LUDIAN, ZHAOTONG	  27.372	  103.971	30	       4	1			        65	1		2	600	3	600	3	       4	1			65	1		2	600	3		
5735	Tsu	2003	11	17	6	43	  6.8	33	 7.8	 7.8	 7.2	 6.2					USA	AK	ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS	  51.146	  178.650	150																								
5736		2003	11	18	17	14	 22.6	35	 6.5	 6.5	 6.5	 6.1				7	PHILIPPINES		PHILIPPINES:  SAMAR:  CAN-AVID	  12.025	  125.416	170	       1	1			        21	1		2	1	1		3	       1	1			21	1		2	1	1		3
5737		2003	11	26	13	38	 57.8	33	 4.7			 4.7					CHINA		CHINA:  YUNNAN PROVINCE:  LUDIAN	  27.283	  103.753	30					         4	1		4	2000	4	2000	4					4	1		4	2000	4		
5738		2003	12	1	1	38	 31.9	10	 6.0	 6.0	 5.9	 6.0					CHINA		CHINA:  XINJIANG:  ZHAOSU	  42.905	   80.515	40	      11	1			        47	1		3	769	3			      11	1			47	1		3	769	3		
5745		2003	12	5	23	41	 27.4	33	 4.9		 4.9	 5.4					INDONESIA		INDONESIA:  FLORES, RUTENG	  -8.137	  120.524	170								1				1								1				1
5746		2003	12	10	4	38	 11.5	10	 6.8	 6.8	 6.7	 6.0					TAIWAN		TAIWAN:  T'AI-TUNG, KAO-HSIUN	  23.039	  121.362	30					         1	1		1									1	1		1				
5747		2003	12	11	16	28	 17.3	33	 5.0			 5.0					IRAN		IRAN:  WESTERN:  MASJED-E- SOLEYMAN	  31.953	   49.209	140		0			         5	1		1	2	1	2	1					5	1		1	1	1		
5748		2003	12	17	23	15	 17.2	34	 4.4			 4.4					BULGARIA		BULGARIA: POVADIYA	  43.083	   27.486	110								2	10	1	10	1								2	10	1	150	3
5749		2003	12	22	19	15	 56.0	8	 6.6	 6.6	 6.4	 6.1				8	USA	CA	CALIFORNIA:  PASO ROBLES,TEMPLETON,ATASCADERO	  35.706	 -121.102	150	       2	1			        40	1	     300.000	4	40	1			       2	1			40	1	     300.000	4				
5750		2003	12	25	7	11	 11.5	33	 6.5	 6.5	 6.4	 6.0					PANAMA		PANAMA-COSTA RICA:  PUERTO ARMUELLES	   8.416	  -82.824	100	       2	1			        75	2		2				3	       2	1			75	2		2				3
5751		2003	12	26	1	56	 52.4	10	 6.6	 6.6	 6.8	 6.0				9	IRAN		IRAN:  SOUTHEASTERN:  BAM, BARAVAT	  28.995	   58.311	140	   31000	4			     30000	4	      32.700	4		4		4	   31000	4			30000	4	      32.700	4		4		
7404	Tsu	2003	12	27	4	55	 25.4	10	 6.1	 6.1	 5.9	 5.9					NEW CALEDONIA		NEW CALEDONIA:  LOYALTY ISLANDS	 -22.107	  169.350	170																								
5752		2004	1	1	20	59	 31.9	45	 5.8	 5.8	 5.4	 5.5				6	INDONESIA		INDONESIA:  BALI, LOMBOK	  -8.310	  115.788	170	       1	1			        29	1		4	6000	4			       1	1			29	1		4	6000	4		
5753		2004	1	1	23	31	 50.0	29	 6.1	 6.1	 5.7	 5.6					MEXICO		MEXICO:  GUERRERO, MEXICO CITY	  17.488	 -101.303	150								1												1				
5754		2004	1	10	7	43	 18.0	5	 2.2				2.2				SLOVAKIA		SLOVAKIA:  SLOVENSKO L'UPCA	  48.758	   19.217	110								1												1				
5755		2004	1	10	18	38	 14.8	10	 4.4		 4.4	 4.5	4.6				ALGERIA		ALGERIA:  NORTHERN:  ALGIERS, BOUMERDES	  36.852	    3.418	15					       300	3		1									300	3		1				
5756		2004	1	14	16	58	 48.1	12	 5.2	 5.2		 5.4					IRAN		IRAN:  SOUTHERN:  FIRUZABAD	  27.695	   52.397	140								1												1				
6611	Tsu	2004	1	28	22	15	 30.7	17	 6.7	 6.7	 6.5	 6.0					INDONESIA		INDONESIA:  SERAM	  -3.120	  127.400	170																								
5757		2004	2	4	11	59	 47.6	29	 6.1	 6.1	 5.9	 5.6					PANAMA		PANAMA-COSTA RICA:  CHIRIQUI	   8.358	  -82.877	100					         4	1		1									4	1		1				
5758		2004	2	5	21	5	  2.8	17	 7.0	 7.0	 7.1	 6.1					INDONESIA		INDONESIA:  NABIRE	  -3.615	  135.538	170	      37	1			       682	3		4	2678	4			      37	1			682	3		4	2678	4		
5759		2004	2	7	2	42	 35.2	10	 7.3	 7.3	 7.5	 6.2					INDONESIA		INDONESIA:  NABIRE	  -4.003	  135.023	170								1												1				
5760	Tsu	2004	2	11	8	15	  3.8	27	 5.3	 5.3	 4.8	 5.1					JORDAN		JORDAN:  MA'IN; ISRAEL:  JERUSALEM, PETAH-TIQWA	  31.675	   35.551	140					         4	1		2				2					4	1		2				2
5761		2004	2	14	10	30	 22.1	11	 5.4	 5.4	 5.2	 5.4					PAKISTAN		PAKISTAN:  BALAKOT, BATGRAM, MANSEHRA	  34.774	   73.216	60	      24	1			        40	1		3	1420	4	1420	4	      24	1			40	1		3	1420	4	5379	4
5762		2004	2	16	14	44	 39.9	56	 5.1	 5.1	 4.5	 5.2					INDONESIA		INDONESIA:  SUMATRA:  PADANGPANJANG	   -.466	  100.655	170	       5	1			         7	1		1					       5	1			7	1					100	2
5763		2004	2	22	6	46	 27.0	42	 6.0	 6.0	 5.7	 6.3					INDONESIA		INDONESIA:  SUMATRA:  PESISIR SELATAN	  -1.559	  100.488	170					         1	1		1									1	1		1				3
5764		2004	2	24	2	14	 34.0	10	 4.7			 4.7					BURUNDI		BURUNDI:  RUYAGA	  -3.393	   29.558	10	       3	1						1	24	1			       3	1						1	24	1		
5765		2004	2	24	2	27	 46.2	0	 6.4	 6.4	 6.4	 6.2				9	MOROCCO		MOROCCO:  AL HOCEIMA, IMZOURENE, BENI ABDALLAH	  35.142	   -3.997	15	     628	3			       926	3		4	2539	4			     628	3			926	3		4	2539	4		
5766		2004	3	1	0	35	 58.0	9	 5.2	 5.2	 4.8	 5.4	5.1				GREECE		GREECE:  SOUTHERN:  KALAMATA	  37.136	   22.116	130								1				1								1				1
5768		2004	3	24	1	53	 49.4	19	 5.4	 5.4	 5.2	 5.6					CHINA		CHINA:  NEI MONGOL:  BAYAN UL HOT, ULIASTAI	  45.382	  118.256	30					       100	2	      74.000	4	38000	4							100	2	      74.000	4	38000	4		
5767		2004	3	25	19	30	 49.0		 5.6	 5.6	 5.4	 5.0					TURKEY		TURKEY:  ERZURUM	  39.930	   40.812	140	      10	1			        46	1		1	45	1	45	1	      10	1			46	1		1	45	1		
5769		2004	3	28	3	51	 10.0	5	 5.6	 5.6	 5.3	 5.3	5.3				TURKEY		TURKEY:  ASKALE	  39.847	   40.874	140					        12	1		1	50	1	50	1					12	1		1	50	1		
5771		2004	4	5	21	24	  4.0	187	 6.5	 6.5		 6.4					AFGHANISTAN		AFGHANISTAN:  HINDU KUSH:  KABUL, SAMANGAN; PAKISTAN	  36.512	   71.029	40	       3	1			         5	1							       3	1			5	1						
5772		2004	4	9	1	55	 50.7	66	 5.4	 5.4		 5.5					INDONESIA		INDONESIA:  SUMATRA:  PADANG	  -1.549	  100.540	170								1												1				1
5774		2004	4	16	18	32	 24.0	96	 5.5	 5.5		 5.5					INDONESIA		INDONESIA:  BALI	  -8.669	  114.650	170								1				1								1				1
5775		2004	4	23	1	50	 30.2	66	 6.7	 6.7		 6.5					INDONESIA		INDONESIA:  TIMOR: KUPANG	  -9.362	  122.839	170								1												1				
5776		2004	5	1	7	56	 13.6	45	 5.2	 5.2	 5.1	 5.2					TAIWAN		TAIWAN:  HUALIEN: TAROKO GORGE NATIONAL PARK	  24.081	  121.611	30	       2	1			         1	1		1					       2	1			1	1		1				
5777		2004	5	3	4	36	 50.0	21	 6.6	 6.6	 6.5	 5.9	6.4			6	CHILE		CHILE: CANETE	 -37.695	  -73.406	160								1												1				
5778		2004	5	4	5	4	 58.3	14	 5.4	 5.4	 5.2	 5.4					CHINA		CHINA:  QINGHAI PROVINCE:  DELINGHA	  37.506	   96.758	30								3												3			3100	4
5779		2004	5	8	4	39	 25.0	67	 5.0			 5.0					IRAN		IRAN:  KAZERUN	  29.881	   51.474	140								1	4	1	4	1								1	4	1	6	1
5780		2004	5	8	20	11	 44.2	10	 4.5			 4.5					PAKISTAN		PAKISTAN:  QUETTA	  30.126	   67.121	60	       1	1			        30	1		1					       1	1			30	1		1				1
5782		2004	5	19	21	28	 10.6	35	 4.1		 4.1	 4.8				6	PHILIPPINES		PHILIPPINES:  BOHOL ISLAND:  TUBIGON	   9.926	  124.038	170								1												1				
5783		2004	5	28	12	38	 44.4	17	 6.3	 6.3	 6.3	 6.2					IRAN		IRAN:  MAZANDARAN, QAZVIN, TEHRAN	  36.290	   51.610	140	      35	1			       400	3		3					      35	1			400	3		3				3
5784		2004	5	30	2	52	 12.2	14	 4.9	 4.9		 4.9					RUSSIA		RUSSIA:  SAKHALIN, YUZHNO, SAKHALINSK	  47.311	  142.120	50								1			46	1								1			46	1
5785		2004	6	9	11	41	 16.5	10	 4.6				4.6				SAUDI ARABIA		SAUDI ARABIA: WESTERN	  27.836	   36.905	140								1												1				
5786		2004	6	15	11	16	 31.5	38	 5.9	 5.9	 5.4	 5.7				6	CHILE		CHILE: CARAHUE, IMPERIAL, TEMUCO	 -38.854	  -73.155	160								1												1				
5787		2004	7	1	22	30	  9.3	5	 5.1	 5.1	 4.8	 5.4					TURKEY		TURKEY:  DOGUBEYAZIT	  39.766	   43.979	140	      18	1			        21	1							      18	1			21	1						
5789		2004	7	12	13	4	  7.1	8	 5.2	 5.2	 4.9	 5.0	5.7				SLOVENIA		SLOVENIA: BOVEC, KOBARID	  46.296	   13.641	130	       1	1			         5	1		1		1		1	       1	1			5	1		1		1		1
5790		2004	7	14	14	36	  2.5		 4.6			 4.6					AFGHANISTAN		AFGHANISTAN: HERAT	  34.890	   61.852	40								2												2			150	3
5791		2004	7	18	4	22	 22.6	5	 5.4	 5.4	 5.1	 5.1					NEW ZEALAND		NEW ZEALAND:  NORTH ISLAND:  ROTORUA, TAURANGA	 -38.000	  176.510	170	       1	1			         2	1		2			5	1	       1	1			2	1		2			5	1
5792		2004	7	18	8	31	 45.8	10	 5.2	 5.2	 4.8	 5.1					AFGHANISTAN		AFGHANISTAN: PAKTIA PROVINCE	  33.426	   69.524	40	       2	1			        40	1		3		3		3	       2	1			40	1		3		3		
5793		2004	7	30	7	14	  7.8	5	 4.0		 4.0	 4.8					TURKEY		TURKEY:  DOGUBEYAZIT	  39.634	   43.966	140	       1	1			         5	1		1					       1	1			5	1		1				2
5795		2004	8	4	3	1	  7.5	10	 5.6	 5.6	 5.2	 5.1					TURKEY		TURKEY:  BODRUM	  36.833	   27.815	140					        15	1											15	1						
5796		2004	8	10	10	26	 14.7	6	 5.4	 5.4	 5.1	 5.1					CHINA		CHINA:  YUNNAN PROVINCE:  LUDIAN	  27.266	  103.873	30	       4	1			       600	3		4	18556	4	65601	4	       4	1			600	3		4	18556		65601	4
5797		2004	8	11	15	48	 26.8	7	 5.7	 5.7	 5.5	 5.3					TURKEY		TURKEY:  ELAZIG, SIVRICE	  38.377	   39.261	140	       1	1			        11	1		1					       1	1			11	1		1				
5798	Tsu	2004	9	5	10	7	  7.8	14	 7.2	 7.2	 7.0	 6.7					JAPAN		JAPAN:  HONSHU:  W COAST: KYOTO	  33.070	  136.618	30					         4	1		1									4	1		1				
5799	Tsu	2004	9	5	14	57	 18.6	10	 7.4	 7.4	 7.1	 6.2					JAPAN		JAPAN:  HONSHU:  W COAST: KYOTO, WAKAYAMA, SAKAI	  33.184	  137.071	30					        40	1		1									40	1		1				
5800		2004	9	7	11	53	  6.1	22	 6.1	 6.1	 6.1	 6.1					ARGENTINA		ARGENTINA: CATAMARCA	 -28.573	  -65.840	160	       1	1				2		1		2		2	       1	1				2		1		2		
5801		2004	9	7	12	15	 49.7	10	 5.2			 5.2					CHINA		CHINA:  GANSU PROVINCE	  34.682	  103.781	30					        19	1		3	600	3							19	1		3	600	3		
5802		2004	9	21	13	32	 30.8	10	 4.8	 4.8		 4.9	4.8			6	POLAND		POLAND: SUWALKI; RUSSIA: KALININGRAD, SVETLOGORSK	  54.841	   19.912	120					         3	1		1									3	1		1				
5803		2004	9	28	17	15	 24.2	9	 6.0	 6.0	 5.8	 5.4				6	USA	CA	CALIFORNIA:  CENTRAL: PARKFIELD, SAN MIGUEL	  35.819	 -120.364	150								1												1				
5825		2004	10	1	8	1	  1.3	87	 5.6	 5.6		 5.1					NICARAGUA		NICARAGUA:  CHINANDEGA, LEON	  11.989	  -86.520	100								1												1				
5804		2004	10	7	21	46	 20.3	35	 5.6	 5.6	 5.4	 5.6					IRAN		IRAN:  GOLESTAN	  37.125	   54.477	140					        60	2											60	2						
5805		2004	10	15	4	8	 50.2	94	 6.6	 6.6		 6.4					TAIWAN		TAIWAN:  T'AO-YUAN	  24.530	  122.694	30						2		1										2		1				
5806		2004	10	18	22	11	 44.9	30	 4.4		 4.4	 4.8					CHINA		CHINA:  YUNNAN PROVINCE:  BAOSHAN	  25.073	   99.169	30					        12	1		3	20000	4	20000	4					12	1		3	20000	4		
5807		2004	10	23	8	56	   .8	16	 6.6	 6.6	 6.3	 6.4					JAPAN		JAPAN:  HONSHU:  NIIGATA PREFECTURE	  37.226	  138.779	30	      40	1			      3183	4	   28000.000	4	6000	4			      40	1			3183	4	   28000.000	4	6000	4		
